timestamp,transaction_id,user_id,amount,user_score,predicted,label,components,merchant,payment_method,location,implied_speed_kmh
2025-11-20T23:43:26.996512,TXN1763662406992105,U1111,28534.22,7.04,0,1,amount_deviation:2.0;frequency:1.44;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.1;payment_risk:0.5,Local University,New Wallet,Singapore,1301741.4
2025-11-20T23:43:48.032326,TXN1763662428024784,U1011,873.73,7.085,0,1,amount_deviation:2.0;frequency:1.485;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.1;payment_risk:0.5,Reliance Fresh,New Wallet,Delhi,803617.3
2025-11-20T23:43:49.033809,TXN1763662429026993,U1070,19175.53,7.369,0,1,amount_deviation:2.0;frequency:1.469;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.4;payment_risk:0.5,RedBus,New Wallet,Kolkata,1529482.0
2025-11-20T23:44:10.066935,TXN1763662450059717,U1057,29210.93,7.15,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.15;payment_risk:0.5,Xbox Store,New Wallet,Mumbai,1504561.9
2025-11-20T23:44:43.118799,TXN176366248311547,U1054,13812.02,7.4,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.4;payment_risk:0.5,Radisson,New Wallet,Mumbai,1504561.9
2025-11-20T23:44:47.126864,TXN176366248712191,U1070,22574.48,7.3,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.3;payment_risk:0.5,Slack,New Wallet,Hyderabad,1554930.9
2025-11-20T23:46:05.252597,TXN1763662565248238,U1059,27851.8,7.15,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.4;payment_risk:0.25,OYO,EMI,Paris,371979.7
2025-11-20T23:46:16.272803,TXN1763662576265587,U1064,16822.64,7.1,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.1;payment_risk:0.5,Udemy,New Wallet,Mumbai,863003.6
2025-11-20T23:46:28.287461,TXN1763662588284642,U1033,12658.08,7.4,0,1,amount_deviation:2.0;frequency:1.5;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.4;payment_risk:0.5,IRCTC,New Wallet,Kolkata,955453.8
2025-11-20T23:47:05.349626,TXN1763662625346976,U1043,22669.12,7.09,0,1,amount_deviation:2.0;frequency:1.44;fraud_history:0.0;location_time:2.0;behavior_fit:1.0;merchant_risk:0.15;payment_risk:0.5,Prime Video,New Wallet,New York,668426.7
